,src_conn,dst_conn,source_,transport_,destination_,source_hash,destination_hash
0,stat_rep,vertica_writer,weblogs2.sessions_advert,vertica_instruction: 785,analytics.sessions,5617538668533991228,5891324045777245671
1,mailota,vertica_writer,public.mailota_mailblockschedule,vertica_instruction: 1351,mailota.mailota_mailblockschedule,2263388814355296586,6421136243793628128
2,partners,vertica_writer,public.partners_contractdata,vertica_instruction: 1208,partners.partners_contractdata,2017884909841378819,2132246231782211631
3,stat_rep,vertica_writer,weblogs2.hc_event,vertica_instruction: 1117,weblogs2.hc_event2,1286678735126397471,135260685782862785
4,stat_rep,vertica_writer,ostrota.orders_order,vertica_instruction: 1576,actualize.sat_order_commission_static,7918190303009976505,2215603787390441378
5,repl,vertica_writer,public.white_label_whitelabel,vertica_instruction: 1687,ostrota.white_label_whitelabel,7593007542212417197,6699146899189387694
6,crm,vertica_writer,public.partners_partnercontract_agency_chains,vertica_instruction: 1808,crm.partners_partnercontract_agency_chains,444508615900627913,3721472891137692476
7,content,vertica_writer,public.content_ng_translatable,vertica_instruction: 1400,content.amenities_raw,9080264413309998187,1640660624191559810
8,stat_rep,vertica_writer,weblogs2.action_tracker,vertica_instruction: 1025,weblogs2.action_tracker,6416269542463074241,1652576083580898762
9,crm,vertica_writer,public.tpp_tpp,vertica_instruction: 1742,crm.tpp_tpp,5919193602474575798,1091616005238764353
10,extranet_replica,vertica_writer,public.legal_company,vertica_instruction: 1792,extranet.legal_company,3880162910714310144,5855354228626704408
11,crm,vertica_writer,public.workboard_workboard,vertica_instruction: 1800,crm.workboard_workboard,2875115060720643145,6995915196288517509
12,crm,vertica_writer,public.hotels_hotel,vertica_instruction: 1731,crm.hotels_hotel,4303872910647290506,6939130208334481973
13,tableau,vertica_writer,public.datasources,vertica_instruction: 1854,tableau.datasources,4800977118330794231,7306589334254587895
14,mailota,vertica_writer,public.mailota_subscriptionlog,vertica_instruction: 842,mailota.mailota_subscriptionlog,3182326342322996738,5271036330575054754
15,stat_rep,vertica_writer,etl.publish_instructions,vertica_instruction: 1893,etl.publish_instructions,3839893517446854547,7677573128143680643
16,transfers,vertica_writer,public.transfer_amount_settings,vertica_instruction: 1596,transfers.transfer_amount_settings,2771203383629335169,8144433202914581435
17,transfers,vertica_writer,public.transfer_order,vertica_instruction: 1607,transfers.transfer_order,6141313315822264276,5074906262501105971
18,crm,vertica_writer,public.orders_orderitem,vertica_instruction: 1712,crm.orders_orderitem,5139262528724633590,4346307774609433743
19,extranet_replica,vertica_writer,public.hotels_deferredcancellationtask,vertica_instruction: 1401,extranet.hotels_deferredcancellationtask,1764648144146013172,8942088312086413947
20,stat_rep,vertica_writer,weblogs2.sessions_partner,vertica_instruction: 785,analytics.sessions,2742257560384874580,5891324045777245671
21,stat_rep,vertica_writer,globaluser.globaluser_user_history,vertica_instruction: 261,globaluser.globaluser_user,3933268483412103079,661722551925718308
22,mailota,vertica_writer,public.push_pushhistory,vertica_instruction: 1425,mailota.push_pushhistory,6271971570069739974,7454089246799754209
23,extranet_replica,vertica_writer,public.hotels_rateallotmentplan,vertica_instruction: 1422,extranet.hotels_rateallotmentplan,4318168752079193471,724764289705021224
24,transfers,vertica_writer,public.our_fee,vertica_instruction: 1983,transfers.our_fee,486626873615294646,3280992261540117219
25,hotconf,vertica_writer,public.reversion_version,vertica_instruction: 1947,hotcore.reversion_version,6845826655355437167,6756835385891645064
26,stat_rep,vertica_writer,public.booking_channels_smeared,vertica_instruction: 1269,public.booking_channels_smeared_history,3450666548999220284,1288620582855125239
27,stat_rep,vertica_writer,etl.sftp_report_config,vertica_instruction: 1981,etl.sftp_report_config,4179506292170173389,6043798877295282979
28,aws_asterisk,vertica_writer,public.queue_log,vertica_instruction: 1158,asterisk.queue_log,3620902608408268546,5258512410542692597
29,repl,vertica_writer,public.promocode_promocode,vertica_instruction: 1013,ostrota.promocode_promocode,2270735636499919802,7904247397394719895
30,railwaycore,vertica_writer,public.railway_contractrule,vertica_instruction: 1880,railwaycore.railway_contractrule,468236384218623231,699410949546096687
31,partners,vertica_writer,public.partners_partner_segmentation_data_requested_services,vertica_instruction: 1554,partners.partners_partner_segmentation_data_requested_services,5219674900975762720,3228253938170224785
32,diadmin,vertica_writer,public.monitoring_project,vertica_instruction: 1864,diadmin.monitoring_project,5755646110453918926,1510875490560015272
33,redmine,vertica_writer,public.custom_values,vertica_instruction: 1637,redmine.custom_values,6685198936991228372,6465442114227518701
34,railwaycore,vertica_writer,public.railway_bookinglayover,vertica_instruction: 1771,railwaycore.railway_bookinglayover,272062332679590179,8162570599052629648
35,partners,vertica_writer,public.partners_paymentrules,vertica_instruction: 1964,partners.partners_paymentrules,2312680910670565712,7366979482045992860
36,repl,vertica_writer,public.credit_card_vault_usercreditcardrel,vertica_instruction: 1114,ostrota.credit_card_vault_usercreditcardrel,3507846552419848924,1245982162389643625
37,aviacore,vertica_writer,public.avia_baggage,vertica_instruction: 1515,avia.avia_baggage,990444859296384376,2902926953045728696
38,content,vertica_writer,public.tags_bucketset,vertica_instruction: 1942,content.tags_bucketset,2820547083173840687,8118899330236288830
39,extranet_replica,vertica_writer,public.accounts_userprofile_hotels,vertica_instruction: 1251,extranet.accounts_userprofile_hotels,3445983979448656074,4036414845210505281
40,aviacore,vertica_writer,public.avia_segment,vertica_instruction: 1518,avia.avia_segment,8864414385864798215,2341535175821488140
41,stat_rep,vertica_writer,cst.cost,vertica_instruction: 304,cltv.brand_costs_raw,8637648663307839106,3866986764748977075
42,railwaycore,vertica_writer,public.railway_passenger,vertica_instruction: 1773,railwaycore.railway_passenger,2541560878172232205,6970825203906568660
43,stat_rep,vertica_writer,static.smearing_channels_excluded,vertica_instruction: 1045,static.smearing_channels_excluded,7932980504272536826,2211850415045728178
44,mailota,vertica_writer,public.mailota_mailautomatedfreedomhistory,vertica_instruction: 284,mailota.mailota_mailautomatedfreedomhistory,4837870942564645865,156184977844620470
45,mailota,vertica_writer,public.mailota_mailhookclicked,vertica_instruction: 93,mailota.mail_mailhookclicked_20200229,3815653003024361928,9099682766020288843
46,partners,vertica_writer,public.partners_apiendpoint,vertica_instruction: 1889,partners.partners_apiendpoint,5450653508479671664,3609933350156862062
47,stat_rep,vertica_writer,monitoring.copy_put_logger,vertica_instruction: 971,monitoring.copy_put_logger,5421838082664408770,6075738796376740941
48,partners,vertica_writer,public.payment_russianbankpaymentorder,vertica_instruction: 1237,partners.payment_russianbankpaymentorder,8184001650681074012,8850005917366261023
