,src_conn,dst_conn,source_,transport_,destination_,source_hash,destination_hash
0,bigdata-supplierd-aggregates-daily,vertica_writer,hotcore.supplierd_aggregates,kafka_to_vertica,hotcore.supplierd_aggregates,1786551381949066318,1005492623084572890
1,crm-stat-invoice,vertica_writer,crm.invoices,kafka_to_vertica,crm.invoices,8369125688088444182,81328767290961276
2,crm-stat-invoice,vertica_writer,crm.invoices_history,kafka_to_vertica,crm.invoices_history,1941263598055543914,6798319120557763874
3,crm-stat-callback,vertica_writer,crm.callback,kafka_to_vertica,crm.callback,144940513033848144,6336446879856485209
4,crm-stat-callback,vertica_writer,crm.callback_history,kafka_to_vertica,crm.callback_history,6237152631467262454,9222372234864483819
5,bigdata-kraken-errors,vertica_writer,metasearch.kraken_errors,kafka_to_vertica,metasearch.kraken_errors,3406548874592590221,8675508592962765826
6,crm-stat-chats-prod,vertica_writer,crm.chats,kafka_to_vertica,crm.chats,2586502136490691444,1013521898471433053
7,crm-stat-chats-prod,vertica_writer,crm.chats_history,kafka_to_vertica,crm.chats_history,8456527008047893865,4498196152730219465
8,vertica-dc-spread-monitor,vertica_writer,monitoring.dc_spread_monitor,kafka_to_vertica,monitoring.dc_spread_monitor,4399967624142935557,703012548266261839
9,crm-stat-calls,vertica_writer,crm.calls,kafka_to_vertica,crm.calls,6315727239823948770,5947490289787714842
10,crm-stat-calls,vertica_writer,crm.calls_history,kafka_to_vertica,crm.calls_history,5498135919813261049,2277706144134983748
11,crm-stat-inbox,vertica_writer,crm.inbox2,kafka_to_vertica,crm.inbox2,7899247209317686178,566990529202730542
12,crm-stat-inbox,vertica_writer,crm.inbox2_history,kafka_to_vertica,crm.inbox2_history,8143514138892181432,602942398769039977
13,hc-listener-appsflyer,vertica_writer,weblogs2.appsflyer_postback,kafka_to_vertica,weblogs2.appsflyer_postback,4165570690782778528,7765306967232851575
14,hc-listener-redir,vertica_writer,weblogs2.redir,kafka_to_vertica,weblogs2.redir,7884225571643319604,1190488868103497790
