,src_conn,dst_conn,source_,transport_,destination_,source_hash,destination_hash
0,sftp_to_tmp,sftp_to_vertica,/tmp/ppc,pm_script: import_from_sftp & export_to_sftp,metasearch.reports_google_hotel_participation,7379808344806236542,7969418208159299853
1,intentmedia_ostrovok,sftp_to_tmp,/ppc/upload/google_property_performance_report/,pm_script: import_from_sftp & export_to_sftp,/tmp/ppc,1028237046385024284,7379808344806236542
2,tripadvisor_ostrovok,sftp_to_tmp,auction_overview_daily_v2/,pm_script: import_from_sftp & export_to_sftp,/tmp/ostrovok@tripadvisor_daily,8651220454114353290,7824761633429160201
3,sftp_to_tmp,sftp_to_vertica,/tmp/zenhotels@trivago_daily,pm_script: import_from_sftp & export_to_sftp,metasearch.reports_trivago_performance_daily,6183553876390677449,6722197270032039878
4,tripadvisor_ostrovok,sftp_to_tmp,Zenhotels/,pm_script: import_from_sftp & export_to_sftp,/tmp/zenhotels@tripadvisor_mbl,7695450273635504665,1516815334192296754
5,sftp_to_tmp,sftp_to_vertica,/tmp/ostrovok@trivago_daily,pm_script: import_from_sftp & export_to_sftp,metasearch.reports_trivago_bm_pos_daily,895418706878859547,7147607263586050572
6,sftp_to_tmp,sftp_to_vertica,/tmp/zenhotels@wego_daily,pm_script: import_from_sftp & export_to_sftp,metasearch.reports_wego_mbl_weekly,5840855977004634594,6302248210802973931
7,intentmedia_ostrovok,sftp_to_tmp,ppc/upload/bing/,pm_script: import_from_sftp & export_to_sftp,/tmp/bing,7749698267266817019,9131048045375209485
8,sftp_to_tmp,sftp_to_vertica,/tmp/ostrovok@trivago_daily,pm_script: import_from_sftp & export_to_sftp,metasearch.reports_trivago_performance_daily,895418706878859547,6722197270032039878
9,sftp_to_tmp,sftp_to_vertica,/tmp/cliktripz,pm_script: import_from_sftp & export_to_sftp,media.report_clicktripz_daily,4879965906238319560,8026492247378695715
10,sftp_to_tmp,sftp_to_vertica,/tmp/zenhotels@trivago_pos_daily,pm_script: import_from_sftp & export_to_sftp,metasearch.reports_trivago_pos_daily,2429094414243154926,3319742433986002839
11,sftp_to_tmp,sftp_to_vertica,/tmp/ostrovok@trivago_daily,pm_script: import_from_sftp & export_to_sftp,metasearch.reports_trivago_mbl_daily,895418706878859547,8688384819664869249
12,sftp_to_tmp,sftp_to_vertica,/tmp/zenhotels@wego_daily,pm_script: import_from_sftp & export_to_sftp,metasearch.reports_wego_zenhotels_daily,5840855977004634594,106352390170694386
13,trivago_zenhotels,sftp_to_tmp,/infiles/,pm_script: import_from_sftp & export_to_sftp,/tmp/zenhotels@trivago_teb_daily,4983684011472729699,3705246525614056066
14,sftp_to_tmp,sftp_to_vertica,/tmp/ostrovok@tripadvisor_mbl,pm_script: import_from_sftp & export_to_sftp,metasearch.reports_tripadvisor_mbl_daily,401538308825624394,21943537020011898
15,tripadvisor_ostrovok,sftp_to_tmp,Zenhotels/Auction_information/,pm_script: import_from_sftp & export_to_sftp,/tmp/zenhotels@tripadvisor_auction_information_daily,237263074672327996,4552491219906018481
16,sftp_to_tmp,sftp_to_vertica,/tmp/ostrovok@tripadvisor_daily,pm_script: import_from_sftp & export_to_sftp,metasearch.reports_tripadvisor_ostrovok_daily,7824761633429160201,1890742797415885694
17,sftp_to_tmp,sftp_to_vertica,/tmp/ostrovokv2@kayak_bob_daily,pm_script: import_from_sftp & export_to_sftp,metasearch.reports_kayak_bob_daily,4340042328577029057,1861852868569240402
