,src_conn,dst_conn,source_,transport_,destination_,source_hash,destination_hash
0,vertica_writer,vertica_writer,analytics.attribution_order_hotel_channels,vertica_view: 5643,olap.upsell_normal_usd,2365473365588680476,3555203209700154955
1,vertica_writer,vertica_writer,v_catalog.dual,vertica_view: 6050,olap.dim_source_channel_type,1937257266454501164,7395672210286203869
2,vertica_writer,vertica_writer,analytics.currency_converter,vertica_view: 5643,olap.upsell_normal_usd,2726130926009016445,3555203209700154955
3,vertica_writer,vertica_writer,partners.partners_partner,vertica_view: 2634,public.dim_partner_contract_v4,3457492960342642988,5329796248123177022
4,vertica_writer,vertica_writer,public.booking,vertica_view: 6171,olap.dim_meal_type,3120000265886404500,346660528339827005
5,vertica_writer,vertica_writer,public.booking,vertica_view: 5643,olap.upsell_normal_usd,3120000265886404500,3555203209700154955
6,vertica_writer,vertica_writer,metasearch.kraken_rates_city,vertica_view: 2624,metasearch.kraken_rates2,817748593106736319,7108405801884113477
7,vertica_writer,vertica_writer,analytics.dc_resource_acquisitions,vertica_view: 143,analytics.query_requests,6905357491870737908,3833866489972432258
8,vertica_writer,vertica_writer,ml_data.trip_purpose_log,vertica_view: 2649,ml_data.trip_purpose_log_test,7220203663544803997,3511181550849563132
9,vertica_writer,vertica_writer,metasearch.kraken_rates_block,vertica_view: 2624,metasearch.kraken_rates2,6238258182542052116,7108405801884113477
10,vertica_writer,vertica_writer,metasearch.kraken_rates_agent,vertica_view: 2624,metasearch.kraken_rates2,6072848044088238922,7108405801884113477
11,vertica_writer,vertica_writer,olap.session_wo_filter,vertica_view: 5639,olap.smarttravel_usd,2690479153261450395,807092835697611322
12,vertica_writer,vertica_writer,media.sessions_smarttravel,vertica_view: 5639,olap.smarttravel_usd,3606861542790076621,807092835697611322
13,vertica_writer,vertica_writer,metasearch.kraken_rates_hotel,vertica_view: 2628,metasearch.kraken_rates_v2,8373783638653548901,7025136304703308327
14,vertica_writer,vertica_writer,automated_email.user_segment_log_lap,vertica_view: 5396,automated_email.segment_statistic,5153524573157762005,3147400882708283101
15,vertica_writer,vertica_writer,asterisk_olap.dim_agent,vertica_view: 2635,public.ticket_history_test,1257019298373389300,1676073152417683429
16,vertica_writer,vertica_writer,analytics.rebook,vertica_view: 6244,olap.rebook_smearing,2599947765634088999,6758583118390172671
17,vertica_writer,vertica_writer,metasearch.kraken_rates_country,vertica_view: 2624,metasearch.kraken_rates2,7541917234027326498,7108405801884113477
18,vertica_writer,vertica_writer,asterisk_olap.calls,vertica_view: 244,asterisk_olap.calls_first_part_with_int,2376889912315223293,6278544598750256126
19,vertica_writer,vertica_writer,public.booking,vertica_view: 2734,public.fnb_model_table,3120000265886404500,8951245498606216061
20,vertica_writer,vertica_writer,metasearch.kraken_rates_block,vertica_view: 2628,metasearch.kraken_rates_v2,6238258182542052116,7025136304703308327
21,vertica_writer,vertica_writer,metasearch.kraken_rates_agent,vertica_view: 2628,metasearch.kraken_rates_v2,6072848044088238922,7025136304703308327
22,vertica_writer,vertica_writer,metasearch.kraken_rates_hotel,vertica_view: 2624,metasearch.kraken_rates2,8373783638653548901,7108405801884113477
23,vertica_writer,vertica_writer,metasearch.kraken_rates_request,vertica_view: 2628,metasearch.kraken_rates_v2,3995018588382371668,7025136304703308327
24,vertica_writer,vertica_writer,globaluser.globaluser_profile,vertica_view: 2877,public.globaluser_user,5145540829692965767,1646628004617721523
25,vertica_writer,vertica_writer,v_catalog.dual,vertica_view: 4012,olap.dim_smearing_part,1937257266454501164,6262765100358663410
26,vertica_writer,vertica_writer,public.booking,vertica_view: 253,asterisk_olap.dim_booking,3120000265886404500,2148274813988466218
27,vertica_writer,vertica_writer,analytics.currency_history,vertica_view: 1645,spark.metaratescomparisonjob_currency_history,2302038586775913509,2461219012730987068
28,vertica_writer,vertica_writer,analytics.ota_users,vertica_view: 2877,public.globaluser_user,8672093173837700470,1646628004617721523
29,vertica_writer,vertica_writer,asterisk_olap.calls_v2,vertica_view: 240,asterisk_olap.call_reasons_hotel_support,1355035860902217624,5664494426288079911
30,vertica_writer,vertica_writer,v_catalog.dual,vertica_view: 6174,olap.dim_property_only_booking,1937257266454501164,6064009743917147927
31,vertica_writer,vertica_writer,olap.status_set,vertica_view: 6244,olap.rebook_smearing,4410397725764631901,6758583118390172671
32,vertica_writer,vertica_writer,ppc.yandex_banner,vertica_view: 1496,ppc.nonarchived_yandex_adgroup,1840879212062138197,9133715286780493964
33,vertica_writer,vertica_writer,static.booking_channel_source,vertica_view: 5077,olap.channel_smearing_moto_fill_gap,5779331093586749438,529473320808199828
34,vertica_writer,vertica_writer,public.booking,vertica_view: 2877,public.globaluser_user,3120000265886404500,1646628004617721523
35,vertica_writer,vertica_writer,ostrota.orders_orderitem,vertica_view: 2635,public.ticket_history_test,5396322364307994377,1676073152417683429
36,vertica_writer,vertica_writer,public.booking,vertica_view: 252,asterisk_olap.dim_basket,3120000265886404500,9054366248725791410
37,vertica_writer,vertica_writer,analytics.dc_errors,vertica_view: 143,analytics.query_requests,1925975559032492570,3833866489972432258
38,vertica_writer,vertica_writer,dm_maker_sandbox.olap_booking_v2,vertica_view: 6244,olap.rebook_smearing,3924920527654019509,6758583118390172671
39,vertica_writer,vertica_writer,partners.partners_contractdata,vertica_view: 2634,public.dim_partner_contract_v4,2132246231782211631,5329796248123177022
40,vertica_writer,vertica_writer,public.booking,vertica_view: 2635,public.ticket_history_test,3120000265886404500,1676073152417683429
41,vertica_writer,vertica_writer,automated_email.segment_calc_log,vertica_view: 5396,automated_email.segment_statistic,5282530566262826361,3147400882708283101
42,vertica_writer,vertica_writer,static.cost_type,vertica_view: 1260,olap.cost_type_tree,6654855168280037529,2301202639473434858
43,vertica_writer,vertica_writer,olap.status_set,vertica_view: 6405,olap.ticket_smearing,4410397725764631901,2563416623527170732
44,vertica_writer,vertica_writer,asterisk_olap.calls_v2,vertica_view: 242,asterisk_olap.call_reasons_ust,1355035860902217624,5270005494768811824
45,vertica_writer,vertica_writer,analytics.dc_requests_completed,vertica_view: 143,analytics.query_requests,7073481608152168630,3833866489972432258
46,vertica_writer,vertica_writer,antifraud.blocked_ips,vertica_view: 2308,antifraud.blocked_ips_actual,793859781078120935,3021389792173327876
47,vertica_writer,vertica_writer,ostrota.orders_orderhotcorerate,vertica_view: 3982,spark.sourcetag_funnel_orderhotcorerate,2083419532775102728,1177533867411797192
48,vertica_writer,vertica_writer,partners.partners_contractparentchild,vertica_view: 2634,public.dim_partner_contract_v4,4221058754547134193,5329796248123177022
49,vertica_writer,vertica_writer,olap.dim_upsell_status,vertica_view: 5643,olap.upsell_normal_usd,6573488962382102695,3555203209700154955
50,vertica_writer,vertica_writer,dimensions.session_channel_level,vertica_view: 5643,olap.upsell_normal_usd,8164071608209403248,3555203209700154955
51,vertica_writer,vertica_writer,v_catalog.dual,vertica_view: 2308,antifraud.blocked_ips_actual,1937257266454501164,3021389792173327876
52,vertica_writer,vertica_writer,analytics.currency_converter,vertica_view: 6405,olap.ticket_smearing,2726130926009016445,2563416623527170732
53,vertica_writer,vertica_writer,weblogs.webusers_useragent,vertica_view: 1271,olap.dim_os_family,4165950929432204653,5610489382370655241
54,vertica_writer,vertica_writer,partners.partners_legalentity,vertica_view: 2634,public.dim_partner_contract_v4,6162221062621491728,5329796248123177022
55,vertica_writer,vertica_writer,dm_maker_sandbox.olap_booking_v2,vertica_view: 6405,olap.ticket_smearing,3924920527654019509,2563416623527170732
56,vertica_writer,vertica_writer,v_catalog.dual,vertica_view: 249,asterisk_olap.currency_code,1937257266454501164,4402198109928696441
57,vertica_writer,vertica_writer,cltv.booking_basket_tags_history,vertica_view: 319,cltv.booking_basket_tags,8255463003938867298,333091055728153253
58,vertica_writer,vertica_writer,static.point_of_sale,vertica_view: 1276,olap.dim_point_of_sale,3030860013308638307,7279356109039073211
59,vertica_writer,vertica_writer,crm.callreasons_hotelsupport_dict,vertica_view: 257,asterisk_olap.dim_callreasons_hotel,3995054288025784918,4960373720023520064
60,vertica_writer,vertica_writer,public.b2b_contract_source,vertica_view: 2634,public.dim_partner_contract_v4,5869818932340433567,5329796248123177022
61,vertica_writer,vertica_writer,metasearch.kraken_rates_city,vertica_view: 2628,metasearch.kraken_rates_v2,817748593106736319,7025136304703308327
62,vertica_writer,vertica_writer,v_catalog.dual,vertica_view: 4013,olap.smearing_part,1937257266454501164,1065665140285109789
63,vertica_writer,vertica_writer,cltv.booking_basket2booking,vertica_view: 252,asterisk_olap.dim_basket,7371050225857466414,9054366248725791410
64,vertica_writer,vertica_writer,olap.booking,vertica_view: 5643,olap.upsell_normal_usd,3197965408538709030,3555203209700154955
65,vertica_writer,vertica_writer,partners.partners_contract,vertica_view: 1256,olap.contract_balance,5767082907166327490,6391710927889474851
66,vertica_writer,vertica_writer,ostrota.fidelity_fidelitytransaction,vertica_view: 6086,olap.dim_dream_reason,8787871124581429233,7189064769739565317
